date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-12-02T00:00:00.000Z,149.55,151.83,148.32,151.81,27473616,143.5773810139,145.7663240343,142.3965038581,145.7471227798,27473616,0.0,1.0
2019-12-03T00:00:00.000Z,149.31,149.43,146.65,147.49,25192145,143.3469659591,143.4621734865,140.7931991019,141.5996517936,25192145,0.0,1.0
2019-12-04T00:00:00.000Z,149.85,150.18,149.2,150.14,17580617,143.8653998323,144.1822205327,143.241359059,144.1438180235,17580617,0.0,1.0
2019-12-05T00:00:00.000Z,149.93,150.32,149.48,150.05,17880601,143.9422048506,144.3166293146,143.5101766229,144.057412378,17880601,0.0,1.0
2019-12-06T00:00:00.000Z,151.75,151.87,150.27,150.99,16410400,145.6895190161,145.8047265435,144.2686261782,144.9598713426,16410400,0.0,1.0
2019-12-09T00:00:00.000Z,151.36,152.21,150.91,151.07,16741350,145.315094552,146.1311478711,144.8830663243,145.0366763608,16741350,0.0,1.0
2019-12-10T00:00:00.000Z,151.13,151.89,150.76,151.29,16481060,145.0942801245,145.823927798,144.7390569151,145.2478901611,16481060,0.0,1.0
2019-12-11T00:00:00.000Z,151.7,151.87,150.33,151.54,18860001,145.6415158797,145.8047265435,144.3262299419,145.4879058431,18860001,0.0,1.0
2019-12-12T00:00:00.000Z,153.24,153.44,151.02,151.65,24645366,147.1200124812,147.3120250269,144.9886732244,145.5935127432,24645366,0.0,1.0
2019-12-13T00:00:00.000Z,154.53,154.89,152.83,153.0,23850062,148.3584934007,148.7041159829,146.7263867626,146.8895974264,23850062,0.0,1.0
2019-12-16T00:00:00.000Z,155.53,155.9,154.82,155.11,24152770,149.318556129,149.6737793384,148.6369115919,148.9153297831,24152770,0.0,1.0
2019-12-17T00:00:00.000Z,154.69,155.71,154.45,155.45,25443527,148.5121034372,149.49136742,148.2816883824,149.2417511107,25443527,0.0,1.0
2019-12-18T00:00:00.000Z,154.37,155.48,154.18,154.3,24132379,148.2048833642,149.2705529925,148.0224714458,148.1376789732,24132379,0.0,1.0
2019-12-19T00:00:00.000Z,155.71,155.77,153.75,154.0,25813825,149.49136742,149.5489711837,147.6096444726,147.8496601547,25813825,0.0,1.0
2019-12-20T00:00:00.000Z,157.41,158.49,156.29,157.35,53599613,151.1234740581,152.1603418047,150.0482038024,151.0658702944,53599613,0.0,1.0
2019-12-23T00:00:00.000Z,157.41,158.12,157.27,158.12,17726283,151.1234740581,151.8051185952,150.9890652762,151.8051185952,17726283,0.0,1.0
2019-12-24T00:00:00.000Z,157.38,157.71,157.12,157.48,8989150,151.0946721763,151.4114928766,150.8450558669,151.1906784491,8989150,0.0,1.0
2019-12-26T00:00:00.000Z,158.67,158.73,157.4,157.56,14526927,152.3331530957,152.3907568594,151.1138734308,151.2674834674,14526927,0.0,1.0
2019-12-27T00:00:00.000Z,158.96,159.55,158.22,159.45,18414352,152.6115712869,153.1780082966,151.901124868,153.0820020238,18414352,0.0,1.0
2019-12-30T00:00:00.000Z,157.59,159.02,156.73,158.99,16356720,151.2962853492,152.6691750506,150.4706314029,152.6403731688,16356720,0.0,1.0
2019-12-31T00:00:00.000Z,157.7,157.77,156.45,156.77,18393383,151.4018922493,151.4690966403,150.201813839,150.509033912,18393383,0.0,1.0
2020-01-02T00:00:00.000Z,160.62,160.73,158.33,158.78,22634546,154.2052754159,154.310882316,152.0067317681,152.4387599959,22634546,0.0,1.0
2020-01-03T00:00:00.000Z,158.62,159.95,158.06,158.32,21121681,152.2851499593,153.5620333879,151.7475148315,151.9971311408,21121681,0.0,1.0
2020-01-06T00:00:00.000Z,159.03,159.1,156.51,157.08,20826702,152.6787756779,152.7459800689,150.2594176027,150.8066533578,20826702,0.0,1.0
2020-01-07T00:00:00.000Z,157.58,159.67,157.32,159.32,21881740,151.2866847219,153.293215824,151.0370684126,152.9571938691,21881740,0.0,1.0
2020-01-08T00:00:00.000Z,160.09,160.8,157.95,158.93,27762026,153.6964421699,154.378086707,151.6419079314,152.5827694051,27762026,0.0,1.0
2020-01-09T00:00:00.000Z,162.09,162.22,161.03,161.84,21399951,155.6165676265,155.7413757811,154.5989011345,155.3765519444,21399951,0.0,1.0
2020-01-10T00:00:00.000Z,161.34,163.22,161.18,162.82,20733946,154.8965205802,156.7014385094,154.7429105437,156.3174134181,20733946,0.0,1.0
2020-01-13T00:00:00.000Z,163.28,163.31,161.26,161.76,18666414,156.7590422731,156.787844155,154.819715562,155.2997469261,18666414,0.0,1.0
2020-01-14T00:00:00.000Z,162.13,163.6,161.72,163.39,23500783,155.6549701356,157.0662623462,155.261344417,156.8646491732,23500783,0.0,1.0
2020-01-15T00:00:00.000Z,163.18,163.94,162.57,162.62,21417871,156.6630360003,157.3926836738,156.077397736,156.1254008724,21417871,0.0,1.0
2020-01-16T00:00:00.000Z,166.17,166.24,164.03,164.35,23865360,159.5336235578,159.6008279488,157.4790893193,157.7863093924,23865360,0.0,1.0
2020-01-17T00:00:00.000Z,167.1,167.47,165.43,167.42,34371659,160.4264818951,160.7817051046,158.8231771389,160.7337019682,34371659,0.0,1.0
2020-01-21T00:00:00.000Z,166.5,168.19,166.43,166.68,29223486,159.8504442582,161.4729502689,159.7832398672,160.0232555492,29223486,0.0,1.0
2020-01-22T00:00:00.000Z,165.7,167.49,165.68,167.4,24138777,159.0823940755,160.8009063591,159.063192821,160.7145007136,24138777,0.0,1.0
2020-01-23T00:00:00.000Z,166.72,166.8,165.27,166.19,19680766,160.0616580584,160.1384630766,158.6695671024,159.5528248124,19680766,0.0,1.0
2020-01-24T00:00:00.000Z,165.04,167.53,164.45,167.51,24918117,158.4487526749,160.8393088683,157.8823156652,160.8201076137,24918117,0.0,1.0
2020-01-27T00:00:00.000Z,162.28,163.38,160.2,161.15,32078067,155.7989795448,156.8550485459,153.80204907,154.7141086619,32078067,0.0,1.0
2020-01-28T00:00:00.000Z,165.46,165.76,163.07,163.78,24899940,158.8519790207,159.1399978392,156.5574291002,157.2390736372,24899940,0.0,1.0
2020-01-29T00:00:00.000Z,168.04,168.75,165.69,167.84,35127771,161.3289408597,162.0105853968,159.0727934483,161.136928314,35127771,0.0,1.0
2020-01-30T00:00:00.000Z,172.78,174.05,170.79,174.05,51597470,165.8796381917,167.0989178566,163.9691133625,167.0989178566,51597470,0.0,1.0
2020-01-31T00:00:00.000Z,170.23,172.4,169.58,172.21,36142690,163.4314782346,165.514814355,162.8074374612,165.3324024366,36142690,0.0,1.0
2020-02-03T00:00:00.000Z,174.38,174.5,170.4,170.43,30149052,167.415738557,167.5309460844,163.5946888984,163.6234907803,30149052,0.0,1.0
2020-02-04T00:00:00.000Z,180.12,180.64,176.31,177.14,36433339,172.9264986173,173.425731236,169.2686596226,170.065511687,36433339,0.0,1.0
2020-02-05T00:00:00.000Z,179.9,184.2,178.41,184.03,39186324,172.7152848171,176.8435545487,171.2847913519,176.6803438849,39186324,0.0,1.0
